#Gene_families	nsample	Num_leaves_tree1	Num_leaves_tree2	Norm_RFdist
EOG0917008T	19670	14	14	0.00000
EOG0917008U	19970	14	14	0.00000
EOG0917008V	19890	14	14	0.00000
EOG0917008W	15540	18	18	0.00000
EOG0917008X	17990	14	14	0.00000
EOG0917008Y	17600	17	17	0.00000
EOG0917008Z	18420	16	16	0.00000
EOG09170090	17820	17	17	0.03704
EOG09170091	19590	17	17	0.00000
EOG09170092	19740	15	15	0.00000
EOG09170093	19440	14	14	0.00000
EOG09170094	19730	14	14	0.00000
EOG09170095	19510	14	14	0.00000
EOG09170096	19520	12	12	0.00000
EOG09170097	18880	15	15	0.00000
EOG09170098	17980	19	19	0.00000
EOG09170099	19750	14	14	0.00000
EOG0917009B	19780	15	15	0.00000
EOG0917009C	19890	15	15	0.00000
EOG0917009D	19930	14	14	0.00000
EOG0917009E	17560	16	16	0.00000
EOG0917009F	18990	15	15	0.00000
EOG0917009G	17380	15	15	0.05263
EOG0917009H	18590	22	22	0.00000
EOG0917009I	20000	14	14	0.00000
EOG0917009J	19250	13	13	0.05263
EOG0917009K	17660	19	19	0.03226
EOG0917009L	19600	14	14	0.00000
EOG0917009M	19660	16	16	0.00000
EOG0917009N	9230	22	22	0.02703
EOG0917009O	12110	13	13	0.00000
EOG0917009P	18590	15	15	0.00000
EOG0917009Q	19820	14	14	0.00000
EOG0917009R	17730	12	12	0.00000
EOG0917009S	18790	15	15	0.00000
EOG0917009T	17650	15	15	0.00000
EOG0917009U	19740	14	14	0.00000
EOG0917009V	18260	15	15	0.00000
EOG0917009W	19020	14	14	0.00000
EOG0917009X	19880	15	15	0.00000
EOG0917009Y	19990	14	14	0.00000
EOG0917009Z	19220	5	5	0.00000
EOG091700A0	20000	14	14	0.00000
EOG091700A1	19810	12	12	0.00000
EOG091700A2	18710	16	16	0.00000
EOG091700A3	18300	13	13	0.00000
EOG091700A4	19990	14	14	0.00000
EOG091700A5	19720	13	13	0.00000
EOG091700A6	16220	15	15	0.00000
EOG091700A7	19890	14	14	0.00000
EOG091700A8	19350	14	14	0.00000
EOG091700A9	19470	14	14	0.00000
EOG091700AA	19950	14	14	0.00000
EOG091700AB	19620	14	14	0.00000
EOG091700AC	19640	15	15	0.00000
EOG091700AD	19960	14	14	0.00000
EOG091700AE	18530	17	17	0.00000
EOG091700AF	19940	14	14	0.00000
EOG091700AG	19410	15	15	0.00000
EOG091700AH	19500	15	15	0.00000
EOG091700AI	19970	15	15	0.00000
EOG091700AJ	19600	18	18	0.00000
EOG091700AK	19900	18	18	0.00000
EOG091700AL	19320	15	15	0.04348
EOG091700AM	19920	14	14	0.00000
EOG091700AO	19780	14	14	0.00000
EOG091700AP	5450	18	18	0.04348
EOG091700AQ	15820	25	25	0.02326
EOG091700AR	19320	17	17	0.00000
EOG091700AS	19840	14	14	0.00000
EOG091700AT	19720	15	15	0.00000
EOG091700AU	19280	17	17	0.00000
EOG091700AV	13080	15	15	0.05263
EOG091700AW	19360	15	15	0.00000
EOG091700AX	19970	14	14	0.00000
EOG091700AY	19850	14	14	0.00000
EOG091700B0	19130	17	17	0.00000
EOG091700B1	19540	14	14	0.00000
EOG091700B2	15440	15	15	0.00000
EOG091700B3	19640	14	14	0.00000
EOG091700B5	11440	24	24	0.00000
EOG091700B6	19990	14	14	0.00000
EOG091700B7	19510	14	14	0.00000
EOG091700B8	19980	14	14	0.00000
EOG091700B9	19230	16	16	0.00000
EOG091700BA	19630	14	14	0.00000
EOG091700BB	19990	14	14	0.00000
EOG091700BC	9590	14	14	0.00000
EOG091700BD	19820	15	15	0.00000
EOG091700BE	19990	14	14	0.00000
EOG091700BF	18840	14	14	0.00000
EOG091700BH	19950	16	16	0.00000
EOG091700BI	19790	15	15	0.00000
EOG091700BJ	15800	20	20	0.05263
EOG091700BK	20000	14	14	0.00000
EOG091700BL	16160	17	17	0.00000
EOG091700BM	19680	12	12	0.05882
EOG091700BN	19480	15	15	0.00000
EOG091700BO	19350	17	17	0.00000
EOG091700BQ	19930	14	14	0.00000
EOG091700BR	19730	14	14	0.00000
EOG091700BS	19610	14	14	0.00000
EOG091700BT	19940	14	14	0.00000
EOG091700BU	19220	14	14	0.00000
EOG091700BV	19130	16	16	0.00000
EOG091700BW	9750	15	15	0.14286
EOG091700BX	19760	15	15	0.00000
EOG091700BY	8310	12	12	0.00000
EOG091700BZ	8430	14	14	0.18182
EOG091700C0	19590	15	15	0.00000
EOG091700C1	19760	15	15	0.00000
EOG091700C2	19860	14	14	0.00000
EOG091700C3	19270	18	18	0.00000
EOG091700C4	19960	14	14	0.00000
EOG091700C5	19980	14	14	0.00000
EOG091700C6	19840	14	14	0.00000
EOG091700C7	8620	29	29	0.00000
EOG091700C8	19920	14	14	0.00000
EOG091700C9	19270	16	16	0.00000
EOG091700CA	19810	15	15	0.00000
EOG091700CB	19980	13	13	0.00000
EOG091700CD	19860	15	15	0.00000
EOG091700CE	19820	14	14	0.00000
EOG091700CF	19730	14	14	0.00000
EOG091700CG	19550	14	14	0.00000
EOG091700CH	19990	14	14	0.00000
EOG091700CI	4380	18	18	0.00000
EOG091700CJ	19200	14	14	0.04762
EOG091700CK	20000	14	14	0.00000
EOG091700CL	19500	16	16	0.00000
EOG091700CM	19610	14	14	0.00000
EOG091700CN	20000	8	8	0.00000
EOG091700CO	19660	16	16	0.04000
EOG091700CP	19750	13	13	0.00000
EOG091700CQ	19780	15	15	0.00000
EOG091700CR	4800	15	15	0.00000
EOG091700CS	18950	14	14	0.00000
EOG091700CT	19740	14	14	0.00000
EOG091700CU	19590	14	14	0.20000
EOG091700CV	3270	14	14	0.00000
EOG091700CW	17150	7	7	0.00000
EOG091700CX	18940	14	14	0.00000
EOG091700CY	18920	14	14	0.00000
EOG091700CZ	19790	15	15	0.00000
EOG091700D0	19720	15	15	0.00000
EOG091700D1	17690	15	15	0.00000
EOG091700D2	19900	14	14	0.00000
EOG091700D4	18580	15	15	0.00000
EOG091700D5	19990	30	30	0.00000
EOG091700D6	19960	17	17	0.00000
EOG091700D7	19240	14	14	0.00000
EOG091700D8	20000	14	14	0.00000
EOG091700D9	18920	14	14	0.00000
EOG091700DA	19410	11	11	0.00000
EOG091700DB	19730	14	14	0.00000
EOG091700DC	18540	14	14	0.00000
EOG091700DD	19240	14	14	0.00000
EOG091700DE	4500	25	25	0.05000
EOG091700DF	17150	14	14	0.00000
EOG091700DG	19620	15	15	0.00000
EOG091700DH	16240	17	17	0.00000
EOG091700DI	18420	14	14	0.00000
EOG091700DJ	18420	16	16	0.04000
EOG091700DK	15040	15	15	0.00000
EOG091700DL	19930	14	14	0.00000
EOG091700DM	14270	24	24	0.00000
EOG091700DN	17020	14	14	0.00000
EOG091700DO	130	30	30	0.00000
EOG091700DP	19370	15	15	0.00000
EOG091700DQ	19990	15	15	0.00000
EOG091700DR	19960	15	15	0.00000
EOG091700DS	19620	14	14	0.00000
EOG091700DU	19580	15	15	0.00000
EOG091700DV	19860	14	14	0.00000
EOG091700DW	19950	14	14	0.00000
EOG091700DX	19850	14	14	0.00000
EOG091700DY	19830	17	17	0.00000
EOG091700DZ	19410	10	10	0.00000
EOG091700E0	19870	14	14	0.00000
EOG091700E1	19710	15	15	0.00000
EOG091700E2	19620	18	18	0.00000
EOG091700E3	18860	14	14	0.00000
EOG091700E4	19550	15	15	0.00000
EOG091700E5	19490	14	14	0.00000
EOG091700E6	19460	18	18	0.04000
EOG091700E7	19750	14	14	0.00000
EOG091700E8	19990	14	14	0.00000
EOG091700EA	17360	18	18	0.00000
EOG091700EB	19190	14	14	0.00000
EOG091700EC	19320	14	14	0.00000
EOG091700ED	19310	15	15	0.00000
EOG091700EE	19830	14	14	0.00000
EOG091700EF	19930	14	14	0.00000
EOG091700EG	17420	15	15	0.00000
EOG091700EH	19960	14	14	0.00000
EOG091700EI	13210	15	15	0.00000
EOG091700EJ	18960	14	14	0.00000
EOG091700EK	19630	15	15	0.00000
EOG091700EL	19560	15	15	0.00000
EOG091700EM	7030	15	15	0.00000
EOG091700EN	19290	15	15	0.00000
EOG091700EO	19800	5	5	0.00000
EOG091700EP	19620	14	14	0.00000
EOG091700EQ	19260	12	12	0.00000
EOG091700ER	19960	14	14	0.00000
EOG091700ES	14390	14	14	0.00000
EOG091700ET	19540	14	14	0.00000
EOG091700EU	19570	15	15	0.04762
EOG091700EV	18730	16	16	0.00000
EOG091700EW	5550	14	14	0.00000
EOG091700EX	19780	15	15	0.00000
EOG091700EY	19840	15	15	0.04762
EOG091700EZ	20000	5	5	0.00000
EOG091700F0	19020	14	14	0.00000
EOG091700F1	19730	15	15	0.00000
EOG091700F2	18930	16	16	0.00000
EOG091700F3	6400	15	15	0.00000
EOG091700F5	19650	14	14	0.00000
EOG091700F6	19600	14	14	0.00000
EOG091700F7	19930	15	15	0.00000
EOG091700F8	18060	14	14	0.00000
EOG091700F9	19260	15	15	0.05263
EOG091700FA	19990	14	14	0.00000
EOG091700FB	19720	25	25	0.00000
EOG091700FC	18280	13	13	0.00000
EOG091700FD	19990	15	15	0.00000
EOG091700FE	19270	15	15	0.00000
EOG091700FF	19930	14	14	0.00000
EOG091700FG	11100	16	16	0.00000
EOG091700FH	19840	14	14	0.00000
EOG091700FI	18650	17	17	0.00000
EOG091700FK	12230	18	18	0.00000
EOG091700FL	19870	15	15	0.00000
EOG091700FM	19970	14	14	0.00000
EOG091700FN	18700	14	14	0.00000
EOG091700FO	19210	16	16	0.00000
EOG091700FP	17960	15	15	0.00000
EOG091700FQ	19590	14	14	0.00000
EOG091700FR	18020	10	10	0.00000
EOG091700FS	19860	14	14	0.00000
EOG091700FT	19610	16	16	0.00000
EOG091700FU	19790	15	15	0.00000
EOG091700FV	19970	14	14	0.00000
EOG091700FW	19200	15	15	0.00000
EOG091700FX	19020	14	14	0.00000
EOG091700FY	19830	14	14	0.04762
EOG091700FZ	18170	14	14	0.00000
EOG091700G0	18770	14	14	0.00000
EOG091700G1	19760	14	14	0.00000
EOG091700G2	19960	15	15	0.00000
EOG091700G3	12530	14	14	0.00000
EOG091700G4	19800	13	13	0.00000
EOG091700G5	17250	15	15	0.00000
EOG091700G6	19760	14	14	0.00000
EOG091700G8	19980	14	14	0.00000
EOG091700G9	19870	14	14	0.00000
EOG091700GA	10720	18	18	0.00000
EOG091700GB	19900	15	15	0.00000
EOG091700GC	19620	15	15	0.00000
EOG091700GD	19700	14	14	0.00000
EOG091700GE	19770	15	15	0.00000
EOG091700GF	19840	14	14	0.00000
EOG091700GG	18300	16	16	0.00000
EOG091700GH	17930	17	17	0.00000
EOG091700GI	19800	15	15	0.00000
EOG091700GJ	19890	14	14	0.00000
EOG091700GK	5160	15	15	0.00000
EOG091700GM	19620	14	14	0.00000
EOG091700GN	6410	20	20	0.00000
EOG091700GP	19900	14	14	0.00000
EOG091700GQ	19830	15	15	0.00000
EOG091700GR	19720	14	14	0.00000
EOG091700GS	19910	14	14	0.00000
EOG091700GT	19810	14	14	0.00000
EOG091700GU	19860	14	14	0.00000
EOG091700GV	14640	16	16	0.00000
EOG091700GW	19210	8	8	0.00000
EOG091700GX	19440	14	14	0.00000
EOG091700GY	19920	10	10	0.00000
EOG091700GZ	20000	14	14	0.00000
EOG091700H0	18800	15	15	0.04348
EOG091700H1	19720	12	12	0.00000
EOG091700H2	19850	14	14	0.00000
EOG091700H3	19750	14	14	0.10000
EOG091700H4	19990	14	14	0.00000
EOG091700H5	19720	14	14	0.00000
EOG091700H6	19100	14	14	0.00000
EOG091700H7	7870	19	19	0.00000
EOG091700H8	19940	14	14	0.00000
EOG091700H9	19930	14	14	0.00000
EOG091700HA	18550	19	19	0.00000
EOG091700HB	19700	15	15	0.00000
EOG091700HC	19580	14	14	0.00000
EOG091700HD	19600	14	14	0.00000
EOG091700HE	19980	14	14	0.00000
EOG091700HF	19350	17	17	0.00000
EOG091700HG	14830	17	17	0.03704
EOG091700HH	19770	14	14	0.00000
EOG091700HI	19370	12	12	0.00000
EOG091700HJ	17610	21	21	0.00000
EOG091700HK	19540	15	15	0.00000
EOG091700HL	19610	15	15	0.00000
EOG091700HM	19760	5	5	0.00000
EOG091700HN	17150	15	15	0.00000
EOG091700HO	13750	15	15	0.00000
EOG091700HP	19950	15	15	0.00000
EOG091700HQ	19820	14	14	0.00000
EOG091700HR	18880	17	17	0.00000
EOG091700HS	19490	15	15	0.00000
EOG091700HT	19300	13	13	0.00000
EOG091700HU	16960	15	15	0.08333
EOG091700HV	6740	18	18	0.00000
EOG091700HW	18540	15	15	0.00000
EOG091700HX	640	17	17	0.03704
EOG091700HY	13230	16	16	0.04348
EOG091700HZ	19940	14	14	0.00000
EOG091700I0	17780	16	16	0.00000
EOG091700I1	9150	14	14	0.00000
EOG091700I2	17860	14	14	0.00000
EOG091700I3	19980	14	14	0.00000
EOG091700I4	19740	15	15	0.00000
EOG091700I5	19890	17	17	0.00000
EOG091700I6	19150	15	15	0.00000
EOG091700I7	19910	14	14	0.00000
EOG091700I8	19280	15	15	0.00000
EOG091700I9	19880	14	14	0.00000
EOG091700IA	19170	14	14	0.00000
EOG091700IB	19520	13	13	0.00000
EOG091700IC	20000	14	14	0.00000
EOG091700IE	15680	14	14	0.05882
EOG091700IF	19810	14	14	0.00000
EOG091700IH	19940	15	15	0.00000
EOG091700II	18520	15	15	0.00000
EOG091700IJ	18660	12	12	0.00000
EOG091700IK	17530	13	13	0.00000
EOG091700IL	17260	13	13	0.00000
EOG091700IM	19710	15	15	0.00000
EOG091700IN	19780	14	14	0.00000
EOG091700IO	19980	14	14	0.00000
EOG091700IP	19470	15	15	0.00000
EOG091700IQ	20000	6	6	0.00000
EOG091700IS	15690	14	14	0.00000
EOG091700IT	20000	13	13	0.00000
EOG091700IU	19460	15	15	0.00000
EOG091700IV	18170	13	13	0.10000
EOG091700IW	19510	16	16	0.00000
EOG091700IX	20000	11	11	0.00000
EOG091700IY	19950	14	14	0.00000
EOG091700IZ	19980	14	14	0.00000
EOG091700J0	19980	14	14	0.00000
EOG091700J1	19990	10	10	0.00000
EOG091700J2	18010	15	15	0.07692
EOG091700J3	19310	14	14	0.00000
EOG091700J4	19500	14	14	0.00000
EOG091700J5	19970	12	12	0.00000
EOG091700J6	6210	15	15	0.00000
EOG091700J8	19990	11	11	0.00000
EOG091700J9	18500	6	6	0.20000
EOG091700JA	19180	14	14	0.00000
EOG091700JB	18090	14	14	0.00000
EOG091700JC	19700	14	14	0.00000
EOG091700JD	19860	14	14	0.00000
EOG091700JE	18470	15	15	0.00000
EOG091700JF	12800	17	17	0.00000
EOG091700JG	19970	15	15	0.00000
EOG091700JH	19200	15	15	0.00000
EOG091700JI	19890	14	14	0.00000
EOG091700JJ	18780	16	16	0.23077
EOG091700JK	18810	14	14	0.00000
EOG091700JL	19190	12	12	0.00000
EOG091700JM	19690	15	15	0.00000
EOG091700JN	15350	15	15	0.00000
EOG091700JO	19960	14	14	0.00000
EOG091700JQ	19490	14	14	0.00000
EOG091700JR	19590	14	14	0.09091
EOG091700JS	19990	15	15	0.00000
EOG091700JT	19970	14	14	0.00000
EOG091700JU	18810	15	15	0.00000
EOG091700JV	19830	15	15	0.00000
EOG091700JW	19730	16	16	0.00000
EOG091700JX	19180	13	13	0.00000
EOG091700JY	20000	12	12	0.00000
EOG091700JZ	19430	14	14	0.00000
EOG091700K0	19480	15	15	0.00000
EOG091700K1	19830	14	14	0.00000
EOG091700K2	19250	14	14	0.00000
EOG091700K3	18670	14	14	0.00000
EOG091700K4	19440	15	15	0.00000
EOG091700K5	19970	14	14	0.00000
EOG091700K6	19720	15	15	0.00000
EOG091700K7	19440	14	14	0.00000
EOG091700K8	19600	14	14	0.18182
EOG091700K9	18000	16	16	0.00000
EOG091700KA	19410	15	15	0.00000
EOG091700KB	19950	14	14	0.00000
EOG091700KC	19050	12	12	0.00000
EOG091700KD	19610	14	14	0.00000
EOG091700KE	19920	14	14	0.00000
EOG091700KF	19660	14	14	0.00000
EOG091700KG	19960	14	14	0.00000
EOG091700KH	19560	14	14	0.00000
EOG091700KI	18360	19	19	0.00000
EOG091700KJ	19200	15	15	0.00000
EOG091700KK	19650	14	14	0.00000
EOG091700KL	18710	15	15	0.00000
